Timestamp,Outside Dry-Bulb Temperature,Global horizontal irradiance,Wind Speed,outdoorRH,TotalHeatLoad_W,Original electricity consumption,BCHS PV Energy_kWh,Roof_UValue0.19,Wall_UValue0.305,Glazing_UValue2.95,GSHP electricity consumption (kWh),Electricity saving (kWh)
2022/1/1 1:00,-4.4,0,5.2,68,2442285.1104348,2598.2981104348,0,5.016,3.282,2.12476,1071.177680015263,1527.1204304195371
2022/1/1 2:00,-3.9,0,6.7,62,2392238.2844013,2548.2512844013,0,5.016,3.282,2.12476,1037.847411887766,1510.403872513534
2022/1/1 3:00,-3.3,0,7.2,56,2332182.0931611,2488.1950931611,0,5.016,3.282,2.12476,998.7931876492935,1489.4019055118065
2022/1/1 4:00,-3.3,0,9.3,59,2332182.0931611,2488.1950931611,0,5.016,3.282,2.12476,998.7931876492935,1489.4019055118065
2022/1/1 5:00,-3.9,0,6.7,62,2392238.2844013,2548.2512844013,0,5.016,3.282,2.12476,1037.847411887766,1510.403872513534
2022/1/1 6:00,-4.4,0,6.2,68,2442285.1104348,2598.2981104348,0,5.016,3.282,2.12476,1071.177680015263,1527.1204304195371
2022/1/1 7:00,-3.3,98,8.8,59,2332182.0931611,2488.1950931611,125.6591962,5.016,3.282,2.12476,998.7931876492935,1489.4019055118065
2022/1/1 8:00,-2.8,345,9.3,49,2282135.2671276,2438.1482671276,442.3716601,5.016,3.282,2.12476,967.0064691218644,1471.1417980057354
2022/1/1 9:00,-2.2,577,10.3,38,2222079.0758874,2378.0920758874004,739.8505736,5.016,3.282,2.12476,929.7401991160672,1448.351876771333
2022/1/1 10:00,-1.1,501,9.8,35,2111976.0586137003,2267.9890586137003,642.4005847,5.016,3.282,2.12476,863.7938890035584,1404.1951696101419
2022/1/1 11:00,-1.7,139,8.8,33,2172032.2498539,2328.0452498539003,178.23090074400002,5.016,3.282,2.12476,899.3922359643478,1428.6530138895523
2022/1/1 12:00,-2.2,347,9.3,32,2222079.0758874,2378.0920758874004,444.9361335,5.016,3.282,2.12476,929.7401991160672,1448.351876771333
2022/1/1 13:00,-3.3,0,7.7,46,2332182.0931611,2488.1950931611,0,5.016,3.282,2.12476,998.7931876492935,1489.4019055118065
2022/1/1 14:00,-2.8,260,9.8,32,2282135.2671276,2438.1482671276,333.38154095999994,5.016,3.282,2.12476,967.0064691218644,1471.1417980057354
2022/1/1 15:00,-2.8,54,7.7,24,2282135.2671276,2438.1482671276,69.24078158399999,5.016,3.282,2.12476,967.0064691218644,1471.1417980057354
2022/1/1 16:00,-5,53,9.3,35,2502341.302,2658.3543016750004,67.95854489,5.016,3.282,2.12476,1112.1516897777778,1546.2026118972226
2022/1/1 17:00,-5.6,0,10.8,30,2562397.4929152,2718.4104929152,0,5.016,3.282,2.12476,1154.233104916757,1564.177387998443
2022/1/1 18:00,-6.1,0,9.3,31,2612444.3189487,2768.4573189487,0,5.016,3.282,2.12476,1190.1796441679728,1578.2776747807272
2022/1/1 19:00,-6.7,0,11.3,33,2672500.5101889,2828.5135101889,0,5.016,3.282,2.12476,1234.411321103418,1594.102189085482
2022/1/1 20:00,-8.3,0,10.8,23,2832650.3534961003,2988.6633534961,0,5.016,3.282,2.12476,1358.5853014369786,1630.0780520591215
2022/1/1 21:00,-9.4,0,7.2,26,2942753.3707698,3098.7663707698,0,5.016,3.282,2.12476,1449.632202349655,1649.1341684201448
2022/1/1 22:00,-10,0,9.3,29,3002809.562,3158.822562,0,5.016,3.282,2.12476,1501.404781,1657.4177809999999
2022/1/1 23:00,-10.6,0,8.8,36,3062865.7532502003,3218.8787532502,0,5.016,3.282,2.12476,1531.4328766251,1687.4458766251
2022/1/2 0:00,-11.1,0,7.7,39,3112912.5792837003,3268.9255792837,0,5.016,3.282,2.12476,1556.4562896418502,1712.4692896418496
2022/1/2 1:00,-11.7,0,5.2,42,3172968.7705239,3328.9817705239,0,5.016,3.282,2.12476,1586.4843852619501,1742.49738526195
2022/1/2 2:00,-11.7,0,2.6,44,3172968.7705239,3328.9817705239,0,5.016,3.282,2.12476,1586.4843852619501,1742.49738526195
2022/1/2 3:00,-11.7,0,2.6,46,3172968.7705239,3328.9817705239,0,5.016,3.282,2.12476,1586.4843852619501,1742.49738526195
2022/1/2 4:00,-12.2,0,2.6,51,3223015.5965574,3379.0285965574003,0,5.016,3.282,2.12476,1611.5077982787002,1767.5207982787
2022/1/2 5:00,-11.7,0,3.6,49,3172968.7705239,3328.9817705239,0,5.016,3.282,2.12476,1586.4843852619501,1742.49738526195
2022/1/2 6:00,-11.7,0,2.1,49,3172968.7705239,3328.9817705239,0,5.016,3.282,2.12476,1586.4843852619501,1742.49738526195
2022/1/2 7:00,-11.1,78,3.1,49,3112912.5792837003,3268.9255792837,100.0144623,5.016,3.282,2.12476,1556.4562896418502,1712.4692896418496
2022/1/2 8:00,-10.6,276,3.6,47,3062865.7532502003,3218.8787532502,353.8973281,5.016,3.282,2.12476,1531.4328766251,1687.4458766251
2022/1/2 9:00,-8.9,188,3.6,40,2892706.5447363,3048.7195447363,241.06049884800004,5.016,3.282,2.12476,1407.64308746292,1641.0764572733801
2022/1/2 10:00,-8.3,360,0,36,2832650.3534961003,2988.6633534961,461.6052106,5.016,3.282,2.12476,1358.5853014369786,1630.0780520591215
2022/1/2 11:00,-7.2,519,2.6,37,2722547.3362224,2878.5603362224,665.4808452240001,5.016,3.282,2.12476,1272.2183814123366,1606.3419548100635
2022/1/2 12:00,-6.1,281,2.6,35,2612444.3189487,2768.4573189487,360.3085116,5.016,3.282,2.12476,1190.1796441679728,1578.2776747807272
2022/1/2 13:00,-6.1,118,2.1,35,2612444.3189487,2768.4573189487,151.30393012800002,5.016,3.282,2.12476,1190.1796441679728,1578.2776747807272
2022/1/2 14:00,-6.1,0,2.1,33,2612444.3189487,2768.4573189487,0,5.016,3.282,2.12476,1190.1796441679728,1578.2776747807272
2022/1/2 15:00,-6.1,87,1.5,35,2612444.3189487,2768.4573189487,111.5545926,5.016,3.282,2.12476,1190.1796441679728,1578.2776747807272
2022/1/2 16:00,-5.6,22,2.6,32,2562397.4929152,2718.4104929152,28.20920731,5.016,3.282,2.12476,1154.233104916757,1564.177387998443
2022/1/2 17:00,-5,0,3.6,26,2502341.302,2658.3543016750004,0,5.016,3.282,2.12476,1112.1516897777778,1546.2026118972226
2022/1/2 18:00,-5,0,3.1,27,2502341.302,2658.3543016750004,0,5.016,3.282,2.12476,1112.1516897777778,1546.2026118972226
2022/1/2 19:00,-4.4,0,4.1,26,2442285.1104348,2598.2981104348,0,5.016,3.282,2.12476,1071.177680015263,1527.1204304195371
2022/1/2 20:00,-4.4,0,5.7,29,2442285.1104348,2598.2981104348,0,5.016,3.282,2.12476,1071.177680015263,1527.1204304195371
2022/1/2 21:00,-4.4,0,4.6,29,2442285.1104348,2598.2981104348,0,5.016,3.282,2.12476,1071.177680015263,1527.1204304195371
2022/1/2 22:00,-4.4,0,4.1,30,2442285.1104348,2598.2981104348,0,5.016,3.282,2.12476,1071.177680015263,1527.1204304195371
2022/1/2 23:00,-3.9,0,6.2,35,2392238.2844013,2548.2512844013,0,5.016,3.282,2.12476,1037.847411887766,1510.403872513534
2022/1/3 0:00,-3.9,0,7.2,46,2392238.2844013,2548.2512844013,0,5.016,3.282,2.12476,1037.847411887766,1510.403872513534
2022/1/3 1:00,-2.8,0,6.2,62,2282135.2671276,2438.1482671276,0,5.016,3.282,2.12476,967.0064691218644,1471.1417980057354
2022/1/3 2:00,-1.1,0,5.7,72,2111976.0586137003,2267.9890586137003,0,5.016,3.282,2.12476,863.7938890035584,1404.1951696101419
2022/1/3 3:00,2.2,0,10.8,85,1781667.0067926,1937.6800067926,0,5.016,3.282,2.12476,682.6310370852874,1255.0489697073126
2022/1/3 4:00,3.9,0,12.4,76,1611507.7982787,1767.5207982787,0,5.016,3.282,2.12476,597.9620772833767,1169.5587209953233
2022/1/3 5:00,4,0,11.3,93,1601498.433,1757.511433,0,5.016,3.282,2.12476,593.1475677777777,1164.363865222222
2022/1/3 6:00,5.6,0,12.4,92,1441348.5897648002,1597.3615897648,0,5.016,3.282,2.12476,518.4707157427339,1078.8908740220663
2022/1/3 7:00,7.8,0,13.4,93,1221142.5552174,1377.1555552174,0,5.016,3.282,2.12476,422.5406765458131,954.6148786715869
2022/1/3 8:00,8.3,0,14.9,93,1171095.7291839,1327.1087291839,0,5.016,3.282,2.12476,401.748106066518,925.3606231173821
2022/1/3 9:00,10,0,14.4,93,1000936.521,1156.949521,0,5.016,3.282,2.12476,333.645507,823.304014
2022/1/3 10:00,12,0,3.6,94,800749.2165,956.7622165,0,5.016,3.282,2.12476,258.3061988709677,698.4560176290323
2022/1/3 11:00,10.6,0,3.1,96,940880.3294,1096.8933294298,0,5.016,3.282,2.12476,310.5215608580859,786.371768571714
2022/1/3 12:00,10,0,6.7,96,1000936.521,1156.949521,0,5.016,3.282,2.12476,333.645507,823.304014
2022/1/3 13:00,10,0,6.2,96,1000936.521,1156.949521,0,5.016,3.282,2.12476,333.645507,823.304014
2022/1/3 14:00,10,0,3.6,100,1000936.521,1156.949521,0,5.016,3.282,2.12476,333.645507,823.304014
2022/1/3 15:00,10,0,3.6,100,1000936.521,1156.949521,0,5.016,3.282,2.12476,333.645507,823.304014
2022/1/3 16:00,5.6,0,8.2,92,1441348.5897648002,1597.3615897648,0,5.016,3.282,2.12476,518.4707157427339,1078.8908740220663
2022/1/3 17:00,6.1,0,6.7,89,1391301.7637313,1547.3147637313002,0,5.016,3.282,2.12476,496.0077589059893,1051.307004825311
2022/1/3 18:00,7.8,0,6.2,86,1221142.5552174,1377.1555552174,0,5.016,3.282,2.12476,422.5406765458131,954.6148786715869
2022/1/3 19:00,7.2,0,8.2,86,1281198.7464576,1437.2117464576,0,5.016,3.282,2.12476,447.97158967048955,989.2401567871104
2022/1/3 20:00,5.6,0,8.8,89,1441348.5897648002,1597.3615897648,0,5.016,3.282,2.12476,518.4707157427339,1078.8908740220663
2022/1/3 21:00,3.3,0,6.7,85,1671563.9895189,1827.5769895189,0,5.016,3.282,2.12476,627.2285138907692,1200.348475628131
2022/1/3 22:00,1.1,0,8.8,88,1891770.0240663,2047.7830240663,0,5.016,3.282,2.12476,740.4187961120547,1307.3642279542453
2022/1/3 23:00,0.6,0,8.2,80,1941816.8500998,2097.8298500998003,0,5.016,3.282,2.12476,767.5165415414228,1330.3133085583775
2022/1/4 0:00,0,0,8.8,76,2001873.041,2157.886041,0,5.016,3.282,2.12476,800.7492164,1357.1368246000002
2022/1/4 1:00,-0.5,0,9.8,72,2051919.8673735,2207.9328673735,0,5.016,3.282,2.12476,829.0585322721213,1378.8743351013786
2022/1/4 2:00,-1.1,0,11.3,62,2111976.0586137003,2267.9890586137003,0,5.016,3.282,2.12476,863.7938890035584,1404.1951696101419
2022/1/4 3:00,-1.7,0,8.2,57,2172032.2498539,2328.0452498539003,0,5.016,3.282,2.12476,899.3922359643478,1428.6530138895523
2022/1/4 4:00,-2.8,0,8.2,57,2282135.2671276,2438.1482671276,0,5.016,3.282,2.12476,967.0064691218644,1471.1417980057354
2022/1/4 5:00,-3.3,0,10.3,48,2332182.0931611,2488.1950931611,0,5.016,3.282,2.12476,998.7931876492935,1489.4019055118065
2022/1/4 6:00,-3.9,0,8.2,44,2392238.2844013,2548.2512844013,0,5.016,3.282,2.12476,1037.847411887766,1510.403872513534
2022/1/4 7:00,-3.9,41,8.8,44,2392238.2844013,2548.2512844013,52.571704536000006,5.016,3.282,2.12476,1037.847411887766,1510.403872513534
