fips_code,duration_h_mean,duration_h_max,duration_h_sum,max_outage_rate_mean,max_outage_rate_max,mean_outage_rate_mean,PSVI_score,PSVI_rating
1001,4.605932203,44.25,1087,0.00811278,0.088518843,0.005685556,0.026130787,Moderate
1003,1.589005236,18,303.5,0.00764285,0.17954849,0.005658107,0.011171946,Minor
1005,9.443181818,93.75,1246.5,0.008594881,0.158923326,0.004955781,0.03154977,Major
1007,7.014056225,52.5,1746.5,0.014600477,0.449320255,0.008833721,0.046168954,Severe
1009,4.212412587,43.5,1204.75,0.007570171,0.228554642,0.004135116,0.02982471,Major
1011,13.36363636,93.25,1764,0.018656851,0.241853416,0.010362224,0.046176175,Severe
1013,6.343984962,70,1687.5,0.015492516,0.5,0.008088582,0.046131775,Severe
1015,3.521052632,30.5,1003.5,0.00677942,0.239085309,0.003988913,0.025487852,Moderate
1017,8.144230769,73,1058.75,0.00874014,0.136097532,0.006310646,0.027330916,Major
1019,240.9166667,443.25,722.75,0.001692116,0.001692116,0.001692116,0.034775684,Major
1021,4.982352941,31,1270.5,0.00790052,0.127227704,0.004884415,0.029703418,Major
1023,27.49305556,193,1979.5,0.030229829,0.416314639,0.016542876,0.059494859,Extreme
1025,12.29891304,78.5,1131.5,0.008546545,0.053805492,0.006222385,0.027890889,Major
1027,11.05109489,68,1514,0.021462466,0.311795891,0.011951276,0.042441355,Severe
1029,9.254545455,47.5,2036,0.013058201,0.241578839,0.008099897,0.048528759,Severe
1031,3.591216216,32.25,531.5,0.00842392,0.287194918,0.005290165,0.01758182,Minor
1035,36.13815789,320.75,1373.25,0.009509982,0.040275862,0.007018383,0.039740155,Severe
1037,9.213842975,62.25,2229.75,0.016128291,0.221470019,0.009893456,0.053436416,Severe
1039,6.666044776,72,893.25,0.011624443,0.094903727,0.008629137,0.024566108,Moderate
1041,7.846830986,76.75,1114.25,0.017581165,0.243687746,0.01026333,0.032638418,Major
1043,4.236918605,37.25,728.75,0.007000853,0.061840207,0.005741796,0.018366862,Minor
1045,4.5,46.75,355.5,0.010732949,0.094099711,0.00780534,0.012979482,Minor
1047,4.059716599,54,1002.75,0.010711946,0.445411705,0.006792107,0.030259139,Major
1051,3.539647577,44.25,803.5,0.008284602,0.348640432,0.004946943,0.023908565,Moderate
1053,7.456521739,92.25,686,0.008779576,0.039783215,0.006387852,0.019238714,Moderate
1055,3.405844156,27.5,786.75,0.005447884,0.130237744,0.003633322,0.019364544,Moderate
1057,7.522727273,50.25,2068.75,0.011270576,0.190076808,0.007180207,0.047908188,Severe
1059,10.85344828,70,944.25,0.010035236,0.07902822,0.006357961,0.024646664,Moderate
1061,5.934285714,39,1038.5,0.00743566,0.105003858,0.005127342,0.025064319,Moderate
1063,28.42434211,119,2160.25,0.009813574,0.108174054,0.007176794,0.050813083,Severe
1065,9.899691358,76,1603.75,0.015772503,0.238070129,0.009839802,0.041713518,Severe
1067,8.873188406,75.25,1224.5,0.013128884,0.150330728,0.009603127,0.032467245,Major
1069,3.635514019,41,389,0.010148041,0.163211712,0.006551833,0.013991763,Minor
1071,387.0833333,810.5,1161.25,0.00165641,0.001842893,0.00165641,0.058139961,Extreme
1073,2.478481013,38.25,979,0.002935703,0.05165279,0.001970268,0.021416181,Moderate
1075,9.175884956,73,2073.75,0.020021979,0.388852387,0.012836743,0.054338047,Severe
1077,6.850877193,54,1562,0.010502297,0.254484823,0.007159348,0.038772273,Severe
1079,41.375,107.5,165.5,0.012613809,0.032549317,0.007396217,0.0117024,Minor
1081,3.236111111,88.25,640.75,0.004457125,0.069682732,0.00335885,0.016935799,Minor
1083,2.5,6.25,7.5,0.004548756,0.005133508,0.004295158,0.001862012,Minor
1085,9.631221719,75,2128.5,0.018033978,0.20941267,0.011883933,0.052454675,Severe
1087,19.00773196,90.25,1843.75,0.014408935,0.16608488,0.008990029,0.045679626,Severe
1089,2.88671875,42.75,554.25,0.007446922,0.181544192,0.005857799,0.016761113,Minor
1091,9.913043478,79,1140,0.008125677,0.082601054,0.005504812,0.028119898,Major
1093,5.322463768,49.5,1469,0.009183688,0.167575741,0.005851047,0.035067231,Major
1095,117.25,240.5,351.75,0.005892017,0.013521425,0.005889499,0.019608351,Moderate
1097,2.606570513,36.25,813.25,0.004939544,0.117470667,0.003128417,0.01968274,Moderate
1099,7.5,45,1207.5,0.011902444,0.078739516,0.007960734,0.029767521,Major
1101,2.381909548,17.25,474,0.005075518,0.061355383,0.003725676,0.011982713,Minor
1103,8.395833333,89.75,403,0.011164674,0.111299274,0.010150703,0.015943993,Minor
1105,14.158,98.25,1769.75,0.018902597,0.204274892,0.01066667,0.046057638,Severe
1107,7.545180723,65.25,1878.75,0.013056458,0.390045708,0.006986944,0.047578708,Severe
1109,5.565656566,41.75,551,0.007760566,0.105297875,0.005475472,0.015743432,Minor
1111,6.381944444,51.75,1148.75,0.01404981,0.317497927,0.00835571,0.032471888,Major
1113,5.915254237,42.75,698,0.008056975,0.07843267,0.005282115,0.01831526,Minor
1115,3.669642857,37.5,1027.5,0.00641626,0.110808497,0.004466414,0.024446085,Moderate
1117,2.984,39.5,746,0.005754688,0.362356291,0.003331967,0.021952935,Moderate
1119,11.87195122,89.5,1460.25,0.012332866,0.157998424,0.008512297,0.037244942,Major
