fips_code,county,STATE,prob_5h,prob_24h,prob_72h
1001,Autauga,Alabama,0,0,0
1003,Baldwin,Alabama,0,0,0
1005,Barbour,Alabama,0,0,0
1007,Bibb,Alabama,0.008130897410158603,0.0005057657293141817,0
1009,Blount,Alabama,0,0,0
1011,Bullock,Alabama,0,0,0
1013,Butler,Alabama,0.004594532506317482,0,0
1015,Calhoun,Alabama,0,0,0
1017,Chambers,Alabama,0,0,0
1019,Cherokee,Alabama,0,0,0
1021,Chilton,Alabama,0,0,0
1023,Choctaw,Alabama,0.009388480081197666,0,0
1025,Clarke,Alabama,0,0,0
1027,Clay,Alabama,0.0002932551319648094,0,0
1029,Cleburne,Alabama,0,0,0
1031,Coffee,Alabama,0,0,0
1033,Colbert,Alabama,0,0,0
1035,Conecuh,Alabama,0,0,0
1037,Coosa,Alabama,0,0,0
1039,Covington,Alabama,0,0,0
1041,Crenshaw,Alabama,0,0,0
1043,Cullman,Alabama,0,0,0
1045,Dale,Alabama,0,0,0
1047,Dallas,Alabama,0.001142247943953701,0,0
1051,Elmore,Alabama,0.0005574912891986063,0,0
1053,Escambia,Alabama,0,0,0
1055,Etowah,Alabama,0,0,0
1057,Fayette,Alabama,0,0,0
1059,Franklin,Alabama,0,0,0
1061,Geneva,Alabama,0,0,0
1063,Greene,Alabama,0,0,0
1065,Hale,Alabama,0,0,0
1067,Henry,Alabama,0,0,0
1069,Houston,Alabama,0,0,0
1071,Jackson,Alabama,0,0,0
1073,Jefferson,Alabama,0,0,0
1075,Lamar,Alabama,0.006430178973314757,0,0
1077,Lauderdale,Alabama,0,0,0
1079,Lawrence,Alabama,0,0,0
1081,Lee,Alabama,0,0,0
1083,Limestone,Alabama,0,0,0
1085,Lowndes,Alabama,0,0,0
1087,Macon,Alabama,0,0,0
1089,Madison,Alabama,0,0,0
1091,Marengo,Alabama,0,0,0
1093,Marion,Alabama,0,0,0
1095,Marshall,Alabama,0,0,0
1097,Mobile,Alabama,0,0,0
1099,Monroe,Alabama,0,0,0
1101,Montgomery,Alabama,0,0,0
1103,Morgan,Alabama,0,0,0
1105,Perry,Alabama,0,0,0
1107,Pickens,Alabama,0.0008347245409015025,0,0
1109,Pike,Alabama,0,0,0
1111,Randolph,Alabama,0,0,0
1113,Russell,Alabama,0,0,0
1115,St. Clair,Alabama,0,0,0
1117,Shelby,Alabama,0,0,0
1119,Sumter,Alabama,0,0,0
1121,Talladega,Alabama,0,0,0
1123,Tallapoosa,Alabama,0,0,0
1125,Tuscaloosa,Alabama,0,0,0
1127,Walker,Alabama,0,0,0
1129,Washington,Alabama,0,0,0
1131,Wilcox,Alabama,0.0008863003291972652,0,0
1133,Winston,Alabama,0,0,0
2020,Anchorage,Alaska,0,0,0
2063,Chugach,Alaska,0,0,0
2068,Denali,Alaska,0,0,0
2090,Fairbanks North Star,Alaska,0,0,0
2122,Kenai Peninsula,Alaska,0,0,0
2170,Matanuska-Susitna,Alaska,0,0,0
2240,Southeast Fairbanks,Alaska,0,0,0
2290,Yukon-Koyukuk,Alaska,0,0,0
4001,Apache,Arizona,0,0,0
4003,Cochise,Arizona,0,0,0
4005,Coconino,Arizona,0,0,0
4007,Gila,Arizona,0,0,0
4009,Graham,Arizona,0,0,0
4011,Greenlee,Arizona,0,0,0
4012,La Paz,Arizona,0,0,0
4013,Maricopa,Arizona,0,0,0
4015,Mohave,Arizona,0,0,0
4017,Navajo,Arizona,0,0,0
4019,Pima,Arizona,0,0,0
4021,Pinal,Arizona,0,0,0
4023,Santa Cruz,Arizona,0,0,0
4025,Yavapai,Arizona,0,0,0
4027,Yuma,Arizona,0,0,0
5001,Arkansas,Arkansas,0,0,0
5003,Ashley,Arkansas,0,0,0
5005,Baxter,Arkansas,0.013915547024952015,0.004842615012106538,0
5007,Benton,Arkansas,0.011840129375072195,0.003074602622113934,0
5009,Boone,Arkansas,0,0,0
5011,Bradley,Arkansas,0,0,0
5013,Calhoun,Arkansas,0,0,0
5015,Carroll,Arkansas,0.015276779295470885,0,0
5017,Chicot,Arkansas,0,0,0
5019,Clark,Arkansas,0,0,0
5021,Clay,Arkansas,0,0,0
5023,Cleburne,Arkansas,0,0,0
5025,Cleveland,Arkansas,0,0,0
5027,Columbia,Arkansas,0,0,0
5029,Conway,Arkansas,0,0,0
5031,Craighead,Arkansas,0,0,0
5033,Crawford,Arkansas,0,0,0
5035,Crittenden,Arkansas,0,0,0
5037,Cross,Arkansas,0,0,0
5039,Dallas,Arkansas,0.0015596568754873928,0,0
5041,Desha,Arkansas,0,0,0
5043,Drew,Arkansas,0,0,0
5045,Faulkner,Arkansas,0,0,0
5047,Franklin,Arkansas,0,0,0
5049,Fulton,Arkansas,0.007339988256018791,0,0
5051,Garland,Arkansas,0,0,0
5053,Grant,Arkansas,0,0,0
5055,Greene,Arkansas,0,0,0
5057,Hempstead,Arkansas,0,0,0
5059,Hot Spring,Arkansas,0,0,0
5061,Howard,Arkansas,0,0,0
5063,Independence,Arkansas,0,0,0
5065,Izard,Arkansas,0,0,0
5067,Jackson,Arkansas,0,0,0
5069,Jefferson,Arkansas,0,0,0
5071,Johnson,Arkansas,0,0,0
5073,Lafayette,Arkansas,0,0,0
5075,Lawrence,Arkansas,0.0015426147319706903,0,0
5077,Lee,Arkansas,0.011484934468315092,0.0012286689419795222,0
5079,Lincoln,Arkansas,0,0,0
5081,Little River,Arkansas,0.0013121446274967196,0,0
5083,Logan,Arkansas,0,0,0
5085,Lonoke,Arkansas,0,0,0
5087,Madison,Arkansas,0.0027729636048526864,0,0
5089,Marion,Arkansas,0.014128094725511303,0.0019032082653616096,0
5091,Miller,Arkansas,0,0,0
5093,Mississippi,Arkansas,0,0,0
5095,Monroe,Arkansas,0,0,0
5097,Montgomery,Arkansas,0,0,0
5099,Nevada,Arkansas,0,0,0
5101,Newton,Arkansas,0,0,0
5103,Ouachita,Arkansas,0,0,0
5105,Perry,Arkansas,0,0,0
5107,Phillips,Arkansas,0,0,0
5109,Pike,Arkansas,0,0,0
5111,Poinsett,Arkansas,0,0,0
5113,Polk,Arkansas,0,0,0
5115,Pope,Arkansas,0,0,0
5117,Prairie,Arkansas,0,0,0
5119,Pulaski,Arkansas,0,0,0
5121,Randolph,Arkansas,0.005203816131830009,0,0
5123,St. Francis,Arkansas,0,0,0
5125,Saline,Arkansas,0,0,0
5127,Scott,Arkansas,0,0,0
5129,Searcy,Arkansas,0,0,0
5131,Sebastian,Arkansas,0,0,0
5133,Sevier,Arkansas,0,0,0
5135,Sharp,Arkansas,0,0,0
5137,Stone,Arkansas,0,0,0
5139,Union,Arkansas,0,0,0
5141,Van Buren,Arkansas,0,0,0
5143,Washington,Arkansas,0,0,0
5145,White,Arkansas,0,0,0
5147,Woodruff,Arkansas,0,0,0
5149,Yell,Arkansas,0.004618226600985222,0,0
6001,Alameda,California,0,0,0
6003,Alpine,California,0.07455540355677155,0.015873015873015872,0
6005,Amador,California,0.0001932367149758454,0,0
6007,Butte,California,0.002025450222359209,0,0
6009,Calaveras,California,0.0018537458450524162,0,0
6011,Colusa,California,0,0,0
6013,Contra Costa,California,0,0,0
6015,Del Norte,California,0.00141643059490085,0,0
6017,El Dorado,California,0,0,0
6019,Fresno,California,0,0,0
6021,Glenn,California,0,0,0
6023,Humboldt,California,0,0,0
6025,Imperial,California,0,0,0
6027,Inyo,California,0,0,0
6029,Kern,California,0,0,0
6031,Kings,California,0,0,0
6033,Lake,California,0.0011259926514163802,0,0
6035,Lassen,California,0,0,0
6037,Los Angeles,California,0,0,0
6039,Madera,California,0,0,0
6041,Marin,California,0.00012025012025012025,0,0
6043,Mariposa,California,0.008890968647636874,0,0
6045,Mendocino,California,0.004230206810110717,0.00026216442953020134,0
6047,Merced,California,0,0,0
6049,Modoc,California,0,0,0
6051,Mono,California,0,0,0
6053,Monterey,California,0,0,0
6055,Napa,California,0,0,0
6057,Nevada,California,0.002520725969079095,0,0
6059,Orange,California,0,0,0
6061,Placer,California,0.0005357142857142857,0,0
6063,Plumas,California,0.006356440393379707,0,0
